fecha,modulo,detalle,comentario,solucion,codigo,usuario,soporte,solicitud cliente,fecha_id,modulo_id,detalle_id,comentario_id,solucion_id,codigo_id,usuario_id,soporte_id,solicitud cliente_id
2023-02-01 00:00:00,calculo nomina / cuota imss,no apareciendo cuota imss razones sociales,verificar configuracion salarios minimos,registro salarios minimos debe cubrir periodo completo nomina considere calculo,,,x,,1,1,1,1,1,1,1,2,1
2023-02-01 00:00:00,timbrados finiquitos,marca error querer timbrar,detalle codigo lectura campo forma erronea,"realizo modificacion codigo no marque error , falta actualizacion sistema",,,,,1,2,2,2,2,1,1,1,1
2023-02-01 00:00:00,salarios minimos,ventana advertencia carga salario minimo,"campos obligatorios , quiso almacenar sin capturar dos valores","capturan datos completos , si no cambian captura mismo periodo anterior",x,,,,1,3,3,3,3,2,1,1,1
2023-03-01 00:00:00,poliza contable,requiere poliza contable periodo sem 47,"sistema no posible hacer descarga periodos anteriores , no habilita aun",genero poliza forma `` externa '' sistema envio,,x,,,2,4,4,4,4,1,2,1,1
2023-03-01 00:00:00,inicializacion ejercicio,consulta proceso cierre/inicio ejercicio,indico proceso seguir cerrar ejercicio 2022 correcto sin afectar cambios inicio 2023,vacio,,x,,,2,5,5,5,91,1,2,1,1
2023-03-01 00:00:00,incidencias,requiere ejecutar incidencias correspondientes semana anterior,realizo indicacion proceso seguir poder realizar carga incidencias .,vacio,x,,,,2,6,6,6,91,2,1,1,1
2023-03-01 00:00:00,inicializacion ejercicio,solicitud `` replicar '' configuracion ano,giselda realizo proceso razon social dgo solicito realizar `` replica '' configuracion slp qro,vacio,,x,,,2,5,7,7,91,1,2,1,1
2023-03-01 00:00:00,vacaciones,consulta proceso seguir nuevo tabulador,indico proceso llevara aplicar nuevo tabulador,vacio,x,,,,2,7,8,8,91,2,1,1,1
2023-03-01 00:00:00,configuracion,configuracion tabular vacaciones,solicito configuracion nuevo tabular empresas,cargo tabulador vacaciones realizo ajuste configuracion factor integracion tomar nuevo tab,x,,,,2,8,9,9,5,2,1,1,1
2023-03-01 00:00:00,poliza contable,requiere poliza contable periodo sem 47 finiquitos,solicitado poliza sem 47 pero no especifico solo requeria importes finiquitos,genero forma `` manual '' solo importes finiquitos periodo,x,,,,2,4,10,10,6,2,1,1,1
2023-04-01 00:00:00,variabilidad,revision valores variables despues nuevo tabular,solicito revision calculo variables cambio tabulador,vacio,,x,,,3,9,11,11,91,1,2,1,1
2023-04-01 00:00:00,calculo isr,indico no aparecia valor isr despues carga ajuste,"proceso calculo forma correcta , no aparece no `` completa '' descuento",envio informacion desglosada calculo validacion,,x,,,3,10,12,12,7,1,2,1,1
2023-04-01 00:00:00,portal colaboradores,personal problemas ingresar portal,acceso liga externa realizar vez usuarios `` pasaron '' base datos replica,vacio,,x,,,3,11,13,13,91,1,2,1,1
2023-04-01 00:00:00,cambio salario,"detalle realizar cambio salario , aparece advertencia",verificar configuracion salarios minimos,registro salarios minimos debe cubrir periodo completo nomina considere calculo,,x,,,3,12,14,1,1,1,2,1,1
2023-05-01 00:00:00,calculos variables bim 6,aparece ventana advertencia fechas corte bimestral recalculo,proceso ser cierre/inicio ano debe calcular primero variables despues hacer ajuste fechas bimestrales,`` regresaron '' fechas ejercicio 2022 bimestre 6 asi pueda realizar recalculo,,,x,,4,13,15,14,8,1,1,2,1
